category,price,color,brand,brand_group,base_color,has_out_of_stock,nb_sizes_total,nb_sizes_available,nb_sizes_out_of_stock,fully_out_of_stock,price_segment
outerwear,,coffee,Pimkie,Pimkie,brown,False,5,5,0,False,>£100
outerwear,79.99,ecru,Bershka,Bershka,beige,True,4,3,1,False,£50-100
outerwear,79.99,ecru,Bershka,Bershka,beige,True,4,3,1,False,£50-100
outerwear,79.99,ecru,Bershka,Bershka,beige,True,4,3,1,False,£50-100
outerwear,,cement,Vila,Vila,other,False,6,6,0,False,>£100
outerwear,,cement,Vila,Vila,other,False,6,6,0,False,>£100
outerwear,,cement,Vila,Vila,other,False,6,6,0,False,>£100
outerwear,,cement,Vila,Vila,other,False,6,6,0,False,>£100
outerwear,72.0,black,ASOS DESIGN,ASOS DESIGN,black,False,8,8,0,False,£50-100
outerwear,72.0,black,ASOS DESIGN,ASOS DESIGN,black,False,8,8,0,False,£50-100
outerwear,72.0,black,ASOS DESIGN,ASOS DESIGN,black,False,8,8,0,False,£50-100
outerwear,,brown,Berghaus,Berghaus,brown,True,5,4,1,False,>£100
outerwear,,brown,Berghaus,Berghaus,brown,True,5,4,1,False,>£100
outerwear,,brown,Berghaus,Berghaus,brown,True,5,4,1,False,>£100
outerwear,,brown,Berghaus,Berghaus,brown,True,5,4,1,False,>£100
outerwear,,khaki,Topshop,Topshop,green,True,5,2,3,False,>£100
outerwear,,khaki,Topshop,Topshop,green,True,5,2,3,False,>£100
outerwear,,khaki,Topshop,Topshop,green,True,5,2,3,False,>£100
outerwear,,khaki,Topshop,Topshop,green,True,5,2,3,False,>£100
outerwear,,black,ASOS DESIGN,ASOS DESIGN,black,False,8,8,0,False,>£100
outerwear,,black,ASOS DESIGN,ASOS DESIGN,black,False,8,8,0,False,>£100
outerwear,,black,ASOS DESIGN,ASOS DESIGN,black,False,8,8,0,False,>£100
outerwear,,black,ASOS DESIGN,ASOS DESIGN,black,False,8,8,0,False,>£100
outerwear,65.0,black,Under Armour,Under Armour,black,False,5,5,0,False,£50-100
outerwear,65.0,black,Under Armour,Under Armour,black,False,5,5,0,False,£50-100
outerwear,65.0,black,Under Armour,Under Armour,black,False,5,5,0,False,£50-100
outerwear,65.0,black,Under Armour,Under Armour,black,False,5,5,0,False,£50-100
outerwear,35.99,grey,Pull&Bear,Pull&Bear,grey,True,5,4,1,False,£20-50
outerwear,35.99,grey,Pull&Bear,Pull&Bear,grey,True,5,4,1,False,£20-50
outerwear,35.99,grey,Pull&Bear,Pull&Bear,grey,True,5,4,1,False,£20-50
outerwear,35.99,grey,Pull&Bear,Pull&Bear,grey,True,5,4,1,False,£20-50
outerwear,25.0,black,ASOS DESIGN,ASOS DESIGN,black,False,8,8,0,False,£20-50
outerwear,25.0,black,ASOS DESIGN,ASOS DESIGN,black,False,8,8,0,False,£20-50
